Gene Symbol,Name,Tier,Somatic,Germline,Tumour Types(Somatic),Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types
TNFRSF14,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)",1,yes,No,follicular lymphoma,L,Rec,TSG,"Mis, N, F"
TNFRSF17,"tumor necrosis factor receptor superfamily, member 17",1,yes,No,intestinal T-cell lymphoma,L,Dom,"oncogene, fusion",Translocation
TOP1,topoisomerase (DNA) I,1,yes,No,AML*,L,Dom,fusion,Translocation
TP53,tumor protein p53,1,yes,yes,"breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types","L, E, M, O",Rec,"oncogene, TSG, fusion","Mis, N, F, Translocation"
TP63,tumor protein p63,1,yes,yes,"HNSCC, DLBCL",E,NA,"oncogene, TSG","Mis, N, Translocation"
TPM3,tropomyosin 3,1,yes,No,"papillary thyroid, ALCL, NSCLC, Spitzoid tumour","E, L",Dom,"TSG, fusion",Translocation
TPM4,tropomyosin 4,1,yes,No,ALCL,L,Dom,fusion,Translocation
TPR,translocated promoter region,1,yes,No,"papillary thyroid, NSCLC",E,Dom,fusion,Translocation
TRA,T cell receptor alpha locus,1,yes,No,T-ALL,L,Dom,fusion,Translocation
TRAF7,tumour necrosis factor receptor-associated factor 7,1,yes,No,meningioma,O,Dom,TSG,Mis
TRB,T cell receptor beta locus,1,yes,No,T-ALL,L,Dom,fusion,Translocation
TRD,T cell receptor delta locus,1,yes,No,T-cell leukaemia,L,Dom,fusion,Translocation
TRIM24,tripartite motif containing 24,1,yes,No,APL,L,Dom,"oncogene, TSG, fusion",Translocation
TRIM27,tripartite motif-containing 27,1,yes,No,papillary thyroid,E,Dom,"oncogene, fusion",Translocation
TRIM33,"tripartite motif-containing 33 (PTC7,TIF1G)",1,yes,No,papillary thyroid,E,Dom,"TSG, fusion",Translocation
TRIP11,thyroid hormone receptor interactor 11,1,yes,No,AML,L,Dom,fusion,Translocation
TRRAP,transformation/transcription domain-associated protein,1,yes,No,melanoma,E,Dom,oncogene,Mis
TSC1,tuberous sclerosis 1 gene,1,yes,yes,"renal cell carcinoma, bladder carcinoma","E, O",Rec,TSG,"D, Mis, N, F, S"
TSC2,tuberous sclerosis 2 gene,1,yes,yes,"pulmonary lymphangioleiomyomatosis (LAM), renal angiomyolipoma, HNSCC","E, O",Rec,TSG,"D, Mis, N, F, S"
TSHR,thyroid stimulating hormone receptor,1,yes,yes,toxic thyroid adenoma,E,Dom,oncogene,Mis
U2AF1,U2 small nuclear RNA auxiliary factor 1,1,yes,No,"CLL, MDS",L,Dom,oncogene,Mis
UBR5,ubiquitin protein ligase E3 component n-recognin 5,1,yes,No,"mantle cell lymphoma, gastric, colorectal","L, E",Rec,oncogene,"F, N, Mis, S"
USP44,ubiquitin specific peptidase 44,2,yes,No,"lung cancer, colon cancer",E,NA,TSG,D
USP6,ubiquitin specific peptidase 6 (Tre-2 oncogene),1,yes,No,aneurysmal bone cyst,M,Dom,"oncogene, fusion",Translocation
USP8,ubiquitin specific peptidase 8,1,yes,No,corticotroph adenoma,E,Dom,oncogene,"Mis, N"
VAV1,vav guanine nucleotide exchange factor 1,2,yes,No,T-cell lymphoma,L,NA,fusion,"Translocation, O"
VHL,von Hippel-Lindau syndrome gene,1,yes,yes,"renal, haemangioma, pheochromocytoma","E, M, O",Rec,TSG,"D, Mis, N, F, S"
VTI1A,vesicle transport through interaction with t-SNAREs homolog 1A,2,yes,No,colorectal,E,Dom,fusion,Translocation
WAS,Wiskott-Aldrich syndrome,1,No,yes,,L,Rec/X,oncogene,"Mis, N, F, S"
WHSC1,Wolf-Hirschhorn syndrome candidate 1(MMSET),1,yes,No,MM,L,Dom,"oncogene, fusion",Translocation
WHSC1L1,Wolf-Hirschhorn syndrome candidate 1-like 1 (NSD3),1,yes,No,AML,L,Dom,"oncogene, fusion","Translocation, A"
WIF1,WNT inhibitory factor 1,1,yes,No,pleomorphic salivary gland adenoma,E,Dom,"TSG, fusion",Translocation
WNK2,WNK lysine deficient protein kinase 2,2,yes,No,gastric cancer,E,NA,TSG,Mis
WRN,Werner syndrome (RECQL2),1,No,yes,,"L, E, M, O",Rec,TSG,"Mis, N, F, S"
WT1,Wilms tumour 1 gene,1,yes,yes,"Wilms tumour, desmoplastic small round cell tumour",O,Rec,"oncogene, TSG, fusion","D, Mis, N, F, S, Translocation"
WWTR1,WW domain containing transcription regulator 1,1,yes,No,epithelioid haemangioendothelioma,M,Dom,"oncogene, fusion",Translocation
XPA,"xeroderma pigmentosum, complementation group A",1,No,yes,,E,Rec,TSG,"Mis, N, F, S"
XPC,"xeroderma pigmentosum, complementation group C",1,No,yes,,E,Rec,TSG,"Mis, N, F, S"
XPO1,"exportin 1 (CRM1 homolog, yeast)",1,yes,No,CLL,L,Dom,oncogene,Mis
YWHAE,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide (14-3-3 epsilon)",1,yes,No,endometrial stromal sarcoma,M,Dom,"TSG, fusion",Translocation
ZBTB16,zinc finger and BTB domain containing 16,1,yes,No,APL,L,Dom,"TSG, fusion",Translocation
ZCCHC8,"zinc finger, CCHC domain containing 8",2,yes,No,Spitzoid tumour,E,Dom,fusion,Translocation
ZEB1,zinc finger E-box binding homeobox 1,2,yes,No,"CCRCC, melanoma",E,NA,oncogene,Mis
ZFHX3,zinc finger homeobox 3,1,yes,No,"endometrial, gastric, prostate",E,Dom,TSG,"Mis, N"
ZMYM3,zinc finger MYM-type containing 3,2,yes,No,"CRC, breast cancer",E,NA,TSG,F
ZNF198,zinc finger protein 198,1,yes,No,"MPN, NHL",L,Dom,fusion,Translocation
ZNF278,zinc finger protein 278 (ZSG),1,yes,No,Ewing sarcoma,M,Dom,"TSG, fusion",Translocation
ZNF331,zinc finger protein 331,1,yes,No,follicular thyroid adenoma,E,Dom,"TSG, fusion",Translocation
ZNF384,zinc finger protein 384 (CIZ/NMP4),1,yes,No,ALL,L,Dom,fusion,Translocation
ZNF429,zinc finger protein 429,2,yes,No,GBM,O,NA,,Mis
ZNF479,zinc finger protein 479,2,yes,No,"lung cancer, bladder carcinoma, prostate carcinoma",E,NA,,Mis
ZNF521,zinc finger protein 521,1,yes,No,ALL,L,Dom,"oncogene, fusion",Translocation
ZNRF3,zinc and ring finger 3,2,yes,No,"colorectal cancer, adrenocortical carcinoma, gastric cancer",E,NA,TSG,"N, F, Mis"
ZRSR2,"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2",1,yes,No,"MDS, CLL",L,Rec,TSG,"F, S, Mis"
